TIME,TEMPERATURE [degC],PRECIPITATION [mm/6hr],WIND SPEED [m/s],WIND DIRECTION,HUMIDITY [%],SEA-LEVEL PRESSURE [hPa]
1980010100,5.4,0,3.7,346.4,95,1027.5
1980010106,5.2,0,2.2,343.3,88.5,1028
1980010112,7.4,0,2.5,7.9,72.5,1025.1
1980010118,8.3,0,2.9,6.6,64,1025.7
1980010200,8.7,0,3.2,0,65.5,1023
1980010206,9.1,0,2,0,78,1020.4
1980010212,9.7,0,0.7,240,87.5,1016.4
1980010218,9.4,0,0.2,353.4,85.5,1016.4
1980010300,8.4,0,0.4,340.6,95.5,1016
1980010306,8.8,0,0.8,356.8,94.5,1016
1980010312,9.6,0,2.3,349.7,90.5,1014.1
1980010318,7.9,0,3.6,340,75,1016.6
1980010400,5.9,0,0.8,15,70.5,1018
1980010406,5.2,0,2.1,340,67,1017.7
1980010412,7.1,0,3.2,336.7,43.5,1014.9
1980010418,3.8,0,5.8,333.4,39.5,1017.3
1980010500,-1.4,0,6.2,323.3,37,1020.2
1980010506,-3.7,0,2,336.7,39.5,1024.2
1980010512,4.1,0,3.1,340,26.5,1021.1
1980010518,-0.2,0,0.7,350,31.5,1021.5
1980010600,-4.3,0,0.2,356.7,47,1021.2
1980010606,-3.5,0,0.2,350,64.5,1020.7
1980010612,4.8,0,2.2,187.7,52,1015.8
1980010618,4.6,0,2.4,188.6,60,1014.9
1980010700,-1.3,0,4.8,38.7,58,1021.5
1980010706,-5.8,0,4.2,348.8,39,1027.3
1980010712,-2.7,0,3.8,321.5,31.5,1026.9
1980010718,-4.6,0,0.2,350,37.5,1031
1980010800,-7.2,0,0.2,27.5,53.5,1031
1980010806,-6.8,0,0.3,25,63.5,1030.3
1980010812,4.7,0,0.5,140,39,1027.7
1980010818,1.6,0,0.1,0,49.5,1027.3
1980010900,-0.5,0,0.1,27.5,70.5,1023.8
1980010906,0.1,0,0.2,8.6,73,1022.3
1980010912,6.1,0,0.1,7.5,55,1017.1
1980010918,4,0,0.4,33.8,74,1016.3
1980011000,1.8,0,1.4,319.8,70.5,1016
1980011006,0.1,0,2,344.8,64.5,1017.5
1980011012,4.2,0,3.2,313.5,38.5,1017
1980011018,-1,0,1.1,320,34,1021.2
1980011100,-5.1,0,3.3,326.4,45,1024.3
1980011106,-6.1,0,3.7,333.1,51,1027.4
1980011112,2.2,0,1.5,342.5,31,1025.1
1980011118,-1.2,0,0.1,0,37,1026.9
1980011200,-6.1,0,0.2,346.9,53.5,1025.2
1980011206,-5.7,0,0.4,328,60,1023.4
1980011212,2.1,0,0.6,326.4,43.5,1019
1980011218,3.4,0,0.7,326.4,50,1018.9
1980011300,1.4,0,2.5,305,65.5,1017.6
1980011306,0.8,0,4.9,315.1,58.5,1017.3
1980011312,5.3,0,3.7,303.8,43,1014.2
1980011318,1.5,0,2,320,44,1016.7
1980011400,-1.9,0,3.9,320,49,1018.3
1980011406,-2.6,0,3.4,302.9,49,1020.4
1980011412,3.2,0,1.3,253.1,37.5,1015.5
1980011418,1.5,0,0.8,230,46.5,1018.1
1980011500,-2.7,0,0.7,295,51.5,1020.3
1980011506,-3.1,0,0.4,330.6,58.5,1021.9
1980011512,3.1,0,2.5,230,43.5,1017.2
1980011518,1.5,0,0.6,295,49,1018.4
1980011600,0.1,0,1.5,16.2,54.5,1019.9
1980011606,-1.9,0,0.9,42.3,47.5,1023.4
1980011612,3.6,0,2.4,190,31,1020.6
1980011618,2,0,1,292.5,44,1019.8
1980011700,2,0,4.1,320.3,58.5,1017.1
1980011706,-2.8,0,5.3,320,58,1018.9
1980011712,-3.4,0,6.5,320,39.5,1022.1
1980011718,-8.2,0,3.2,323.3,37,1029
1980011800,-10.8,0,1.4,3.4,47.5,1031
1980011806,-10.3,0,1.8,346.4,47.5,1033.5
1980011812,0.8,0,2.4,25.5,33,1030.4
1980011818,-1.5,0,0.9,308.5,36.5,1031.8
1980011900,-5.5,0,0.6,25,51.5,1030.6
1980011906,-3.6,0,1.2,14.7,54.5,1028.3
1980011912,2,0,3.1,318.9,45,1023.7
1980011918,0.5,0,0.7,21.9,54.5,1022.7
1980012000,-4.3,0,0.2,1.3,79.5,1021.6
1980012006,-2.1,0,1.8,332,72.5,1020
1980012012,1.9,0,5.2,320,34.5,1017.9
1980012018,-1.5,0,0.7,340,40,1018.9
1980012100,-3.6,0,1,333.1,64.5,1017.1
1980012106,-3.1,0,5.4,320,55,1018.4
1980012112,0.4,0,5.1,295,33.5,1016.4
1980012118,-2.3,0,3.5,302.9,41.5,1019.3
1980012200,-4.9,0,4.2,289.7,51.5,1020.6
1980012206,-6.4,0,5.7,312.3,53.5,1022.7
1980012212,-0.5,0,4.6,320,39,1020
1980012218,-1.7,0,1.4,326.4,34,1021.6
1980012300,-5.1,0,0.7,326.4,45,1021.1
1980012306,-4.6,0,1.1,320,48.5,1021.3
1980012312,5.5,0,2.7,185,39,1018.3
1980012318,3.5,0,0.2,350,54.5,1019.8
1980012400,-2.3,0,0.1,346.9,87,1021
1980012406,-3,0,1.2,333.2,81.5,1023.4
1980012412,7.9,0,3.1,329.8,24.5,1020.4
1980012418,3.8,0,2.5,353.6,24,1023.7
1980012500,-1.4,0,0.9,353.6,41,1023.5
1980012506,-3.1,0,0.6,335.5,58.5,1024
1980012512,7.9,0,1,58,29.5,1020.2
1980012518,3.8,0,0.7,63.4,45.5,1022.9
1980012600,-1.9,0,0.2,45,60,1023.3
1980012606,-3.4,0,0.1,26.6,70.5,1025.1
1980012612,9.5,0,1,96.9,51,1021.6
1980012618,6.7,0,0.1,11.4,64.5,1021
1980012700,4.6,0,0.1,11.4,76.5,1019.9
1980012706,4.5,0,0,0,79,1019.4
1980012712,13.2,0,1.2,125,63.5,1015.4
1980012718,11.5,0,0,0,87,1016.6
1980012800,7.9,0,0.2,11.4,95.5,1015.9
1980012806,8,0,0.6,14.5,87,1015
1980012812,12,0,3.7,50,65,1012.2
1980012818,9.1,0,3.7,50,84,1014.1
1980012900,7.4,0,3.7,50,89,1014
1980012906,5.9,0,4,50,90.5,1014
1980012912,6.1,0,3.4,50,93,1010
1980012918,5.1,0,3.1,50,93,1009.7
1980013000,3.8,0,2.2,20.2,92.5,1007
1980013006,2.1,0,6.4,24.9,74.5,1007.3
1980013012,-3.5,0,7.3,336.1,40,1008.4
1980013018,-7,0,3.5,326.6,31.5,1013.8
1980013100,-8.2,0,3,326.6,40.5,1014.5
1980013106,-8.2,0,4.9,301.8,42.5,1015.5
1980013112,-4.3,0,6.3,286.9,35,1014.6
1980013118,-4.4,0,2.4,270,41,1016.4
1980020100,-5.9,0,2.5,270,45.5,1017.3
1980020106,-6.1,0,1.9,263.4,52,1019.3
1980020112,-1.4,0,5.2,283.1,36.5,1018.9
1980020118,-2,0,1.3,270,37.5,1021.1
1980020200,-5.1,0,0.8,281.3,61.5,1022
1980020206,-5.4,0,0.9,292.8,79.5,1023.1
1980020212,1.6,0,3.9,270.9,43.5,1020.8
1980020218,0.5,0,1.9,250,38.5,1022.1
1980020300,-2.7,0,0.5,279.5,53.5,1021.2
1980020306,-3.9,0,1.1,305,67.5,1020.4
1980020312,3,0,5.2,260.7,37,1017.5
